,TYPE,SCHOOL,geometry
0,Charter,CONSERVATORY OF INSTRUMENTAL AND VOCAL ARTS (COVA),POINT (-122.1848741187958 37.79885815810979)
1,Charter,ARISE HIGH SCHOOL,POINT (-122.2249838813026 37.77616826331058)
2,Middle,ALLIANCE ACADEMY,POINT (-122.165601647708 37.74664352108863)
3,High,BUNCHE ACADEMY,POINT (-122.2868910674102 37.81300326856226)
4,Elementary,INTERNATIONAL COMM. ELEMENTARY,POINT (-122.2300110914464 37.77981951074952)
5,Elementary,BELLA VISTA ELEMENTARY,POINT (-122.2371337219185 37.80036002589873)
6,Elementary,ESPERANZA ACADEMY,POINT (-122.173569597191 37.73751689383553)
7,Elementary,LAUREL ELEMENTARY,POINT (-122.1964753729739 37.79310249712228)
8,Elementary,REDWOOD HEIGHTS ELEMENTARY,POINT (-122.186590709544 37.79686128090736)
9,High,DEWEY ACADEMY,POINT (-122.2582202982478 37.79668776681567)
10,Middle,CLAREMONT MIDDLE SCHOOL,POINT (-122.2518146359603 37.845541074854)
11,Elementary,GLOBAL FAMILY SCHOOL,POINT (-122.2132039970442 37.77932114755524)
12,Charter,YOUTH EMPLOYMENT PARTNERSHIP,POINT (-122.2355958812484 37.78324592768115)
13,Charter,AMERICAN INDIAN PUBLIC CHARTER SCHOOL II,POINT (-122.2653814268588 37.80029707335666)
14,Charter,EFC UPPER ELEMENTARY (4-5),POINT (-122.2273311117991 37.78247251073594)
15,Elementary,HORACE MANN ELEMENTARY,POINT (-122.2024441732952 37.77354310644381)
16,Middle,PERALTA CREEK MIDDLE SCHOOL,POINT (-122.2167522199681 37.78428240413182)
17,Charter,AMERICAN INDIAN PUBLIC CHARTER SCHOOL (5-8),POINT (-122.1995235438021 37.79341086321553)
18,Elementary,THINK COLLEGE NOW,POINT (-122.2300110914464 37.77981951074952)
19,Charter,EAST OAKLAND LEADERSHIP ACADEMY (5-8),POINT (-122.189820389957 37.77190547689167)
20,Charter,OAKLAND CHARTER HIGH (OCH),POINT (-122.2653814268588 37.80029707335666)
21,Elementary,FRUITVALE ELEMENTARY,POINT (-122.2139907503402 37.79633879544261)
22,Elementary,FRED T. KOREMATSU DISCOVERY ACADEMY,POINT (-122.173569597191 37.73751689383553)
23,High,RUDSDALE CONTINUATION,POINT (-122.1909209278188 37.75931838711962)
24,Elementary,MONTCLAIR ELEMENTARY,POINT (-122.2127985232183 37.83109389000689)
25,Elementary,LINCOLN ELEMENTARY,POINT (-122.2671391819161 37.80009066808029)
26,Elementary,LEARNING WITHOUT LIMITS,POINT (-122.2132039970442 37.77932114755524)
27,Elementary,LOCKWOOD ELEMENTARY,POINT (-122.1918348713027 37.76143736847064)
28,Elementary,EMERSON ELEMENTARY,POINT (-122.2572545882885 37.83461087121487)
29,High,BEST AT MCCLYMONDS,POINT (-122.2786344423451 37.81785972884312)
30,High,EAST OAKLAND SCHOOL OF THE ARTS,POINT (-122.1624989867069 37.75863148373918)
31,Charter,MILLSMONT ACADEMY SECONDARY,POINT (-122.1710115991642 37.7615042794985)
32,Elementary,FUTURES ELEMENTARY,POINT (-122.1918348713027 37.76143736847064)
33,Elementary,CROCKER HIGHLANDS ELEMENTARY,POINT (-122.2279066778979 37.81161054448529)
34,Elementary,PREPARATORY LITERARY ACADEMY OF CULTURAL EXCELLENCE (PLACE) @ PRESCOTT,POINT (-122.2980552054334 37.8083288259261)
35,Elementary,MANZANITA SEED,POINT (-122.2242824101198 37.79239203271914)
36,Elementary,WHITTIER ELEMENTARY,POINT (-122.1948349347076 37.76434191877357)
37,Elementary,ACORN WOODLAND ELEMENTARY,POINT (-122.1859793995575 37.75289499838667)
38,Charter,AMERICAN INDIAN PUBLIC HIGH SCHOOL (9-10),POINT (-122.2730199996731 37.80505999961946)
39,High,EXCEL AT MCCLYMONDS,POINT (-122.2786344423451 37.81785972884312)
40,Charter,WILSON (LIONEL) COLLEGE PREPARATORY ACADEMY (9-12),POINT (-122.1804790147775 37.72938554429825)
41,Elementary,TILDEN ELEMENTARY,POINT (-122.1877853472302 37.78731748854563)
42,Charter,CIVICORPS ELEMENTARY SCHOOL (Formerly EBCC),POINT (-122.2835837047318 37.84715175108317)
43,Elementary,SEQUOIA ELEMENTARY,POINT (-122.2114387299572 37.80231441897627)
44,Charter,BERKLEY MAYNARD ACADEMY (K-5),POINT (-122.2843162128253 37.84525369999954)
45,Middle,BRET HARTE MIDDLE SCHOOL,POINT (-122.2072588113852 37.79988977605109)
46,Charter,KIPP BRIDGE COLLEGE PREPARATORY,POINT (-122.2827744186271 37.80877954996564)
47,Middle,ROOTS INTERNATIONAL ACADEMY,POINT (-122.1932885534436 37.76201573422819)
48,High,MANDELA HIGH SCHOOL,POINT (-122.2095695017205 37.77366814806908)
49,Elementary,MARKHAM ELEMENTARY,POINT (-122.1788666476402 37.76533143285747)
50,High,COLISEUM COLLEGE PREP ACADEMY,POINT (-122.1932885534436 37.76201573422819)
51,Middle,WESTLAKE MIDDLE SCHOOL,POINT (-122.2606419997644 37.81384985633821)
52,Elementary,ENCOMPASS ACADEMY,POINT (-122.1859793995575 37.75289499838667)
53,Elementary,EAST OAKLAND PRIDE,POINT (-122.1744830403232 37.75904323674949)
54,Middle,JAMES MADISON MIDDLE SCHOOL,POINT (-122.1791896322669 37.72768656479315)
55,Middle,URBAN PROMISE ACADEMY,POINT (-122.2243012918616 37.78214827739257)
56,Charter,ACHIEVE ACADEMY (EFC-UE),POINT (-122.2273311117991 37.78247251073594)
57,Elementary,HOOVER ELEMENTARY,POINT (-122.2743296810503 37.82293300883413)
58,Elementary,LAKEVIEW ELEMENTARY,POINT (-122.2481748562291 37.81090664111307)
59,Middle,UNITED FOR SUCCESS ACADEMY,POINT (-122.2167522199681 37.78428240413182)
60,Charter,MONARCH ACADEMY (K-5),POINT (-122.1683229198162 37.74229827343341)
61,Charter,OAKLAND CHARTER ACADEMY (6-8),POINT (-122.2279516439993 37.77859643278964)
62,Elementary,NEW HIGHLAND ACADEMY,POINT (-122.1786957764546 37.75209341258619)
63,Middle,Explore College Preparatory Middle,POINT (-122.177561038528 37.77566190478871)
64,High,BUSINESS & INFORMATION TECHNOLOGY HIGH SCHOOL,POINT (-122.1624989867069 37.75863148373918)
65,Charter,BAY AREA TECHNOLOGY SCHOOL (6-8),POINT (-122.2601432108548 37.83340987528349)
66,Charter,LPS COLLEGE PARK (9-10),POINT (-122.1624989867069 37.75863148373918)
67,Middle,WEST OAKLAND MIDDLE SCHOOL,POINT (-122.2827744186271 37.80877954996564)
68,Charter,WORLD ACADEMY (EFC-EOCC),POINT (-122.2273311117991 37.78247251073594)
69,High,MEDIA COLLEGE PREP,POINT (-122.2095695017205 37.77366814806908)
70,High,"YES, YOUTH EMPOWERMENT SCHOOL",POINT (-122.1538565020053 37.76731893454223)
71,Charter,LIGHTHOUSE COMMUNITY CHARTER SCHOOL (K-4 & 6-8),POINT (-122.2695534392652 37.80189857371224)
72,Elementary,LAFAYETTE ELEMENTARY,POINT (-122.2799564046751 37.81035883831581)
73,Charter,OAKLAND SCHOOL FOR THE ARTS (6-12),POINT (-122.2723010572233 37.80790968420294)
74,Middle,ELMHURST COMMUNITY PREP,POINT (-122.165601647708 37.74664352108863)
75,Elementary,CLEVELAND ELEMENTARY,POINT (-122.2439678596345 37.80434395165474)
76,Charter,EAST OAKLAND LEADERSHIP ACADEMY HIGH (EOLAH),POINT (-122.1911181103706 37.77173573158705)
77,Elementary,THORNHILL ELEMENTARY,POINT (-122.2114889691109 37.83622548528601)
78,High,LIFE ACADEMY,POINT (-122.2167522199681 37.78428240413182)
79,Elementary,BURCKHALTER ELEMENTARY,POINT (-122.1668138809843 37.77556767743071)
80,Elementary,FRANKLIN ELEMENTARY,POINT (-122.2482763218615 37.79375900220367)
81,Elementary,HILLCREST ELEMENTARY,POINT (-122.2328549259799 37.84043030677718)
82,Charter,OAKLAND UNITY HIGH SCHOOL (9-12),POINT (-122.1851349221844 37.77333539891828)
83,Middle,COLE MIDDLE SCHOOL,POINT (-122.2893770858705 37.80724162609006)
84,Middle,MELROSE LEADERSHIP ACADEMY,POINT (-122.1898383763976 37.77810180567354)
85,High,STREET ACADEMY,POINT (-122.2654803522821 37.81781586648742)
86,High,SKYLINE HIGH SCHOOL,POINT (-122.1643695765279 37.7981746733675)
87,Charter,CALIFORNIA COLLEGE PREPARATORY ACADEMY,POINT (-122.2843162128253 37.84525369999954)
88,Charter,NORTH OAKLAND COMMUNITY CHARTER SCHOOL (K-5),POINT (-122.2769017420541 37.83292447657965)
89,Elementary,MAXWELL PARK ELEMENTARY,POINT (-122.1979588082329 37.78039939056166)
90,Elementary,BROOKFIELD VILLAGE ELEMENTARY,POINT (-122.1889863029792 37.73471052819015)
91,Elementary,GREENLEAF ELEMENTARY,POINT (-122.1948349347076 37.76434191877357)
92,Elementary,HOWARD ELEMENTARY,POINT (-122.1514113747663 37.76227518383822)
93,Elementary,MARSHALL ELEMENTARY,POINT (-122.1409332444443 37.74680539905393)
94,Middle,ALTERNATIVE LEARNING COMMUNITY,POINT (-122.1574001279845 37.75157108624378)
95,Elementary,GLENVIEW ELEMENTARY,POINT (-122.2188505050628 37.80528831061929)
96,Elementary,JEFFERSON ELEMENTARY,POINT (-122.2132039970442 37.77932114755524)
97,High,SOJOURNER TRUTH INDEPENDENT STUDY,POINT (-122.1574001279845 37.75157108624378)
98,Middle,FRICK MIDDLE SCHOOL,POINT (-122.1842353618676 37.77101892462436)
99,Charter,"OAKLAND MILITARY INSTITUTE, COLLEGE PREP. ACADEMY (6-12)",POINT (-122.2730199996731 37.80505999961946)
100,Charter,EAST BAY CONSERVATION CORPS (9-12/ADULTS),POINT (-122.2864717266507 37.80039301024288)
101,Elementary,MANZANITA COMMUNITY SCHOOL,POINT (-122.2242824101198 37.79239203271914)
102,Elementary,ALLENDALE ELEMENTARY,POINT (-122.2050444225852 37.78852423784294)
103,Elementary,M L KING JR ELEMENTARY,POINT (-122.2830171318534 37.80569300553248)
104,Middle,ROOSEVELT MIDDLE SCHOOL,POINT (-122.2379152144898 37.78963245437787)
105,Elementary,COMMUNITY UNITED ELEMENTARY SCHOOL,POINT (-122.1918348713027 37.76143736847064)
106,High,LEADERSHIP PREPARATORY HIGH SCHOOL,POINT (-122.1625988284471 37.75920146137883)
107,Elementary,KAISER ELEMENTARY,POINT (-122.2320259669097 37.85344440839445)
108,High,OAKLAND INTERNATIONAL HIGH SCHOOL,POINT (-122.2601432108548 37.83340987528349)
109,High,MET WEST,POINT (-122.2581634719135 37.79513560296385)
110,High,OAKLAND TECHNICAL HIGH SCHOOL,POINT (-122.2538431252229 37.8321510596345)
111,Charter,EDUCATION FOR CHANGE AT COX ELEMENTARY (K-5),POINT (-122.1618241154579 37.74654093736402)
112,Charter,ENVISION ACADEMY OF ARTS & TECH (COUNTY APPROVED)(9),POINT (-122.2779359623879 37.84294292398607)
113,High,COLLEGE PREP & ARCHITECTURE ACADEMY,POINT (-122.2095695017205 37.77366814806908)
114,Elementary,BRIDGES ACADEMY AT MELROSE,POINT (-122.2069615813114 37.76738440519963)
115,Elementary,RISE COMMUNITY SCHOOL,POINT (-122.1786957764546 37.75209341258619)
116,High,COMMUNITY DAY HS,POINT (-122.177762231708 37.78812634700572)
117,Middle,EDNA M BREWER MIDDLE SCHOOL,POINT (-122.2295704236521 37.80377744961004)
118,Charter,REEMS (E.C.) ACADEMY OF TECHNOLOGY & ART (K-8),POINT (-122.1634522680579 37.76096972101539)
119,High,OAKLAND HIGH SCHOOL,POINT (-122.2366314444556 37.80532156929642)
120,Elementary,WEBSTER ACADEMY,POINT (-122.1744830403232 37.75904323674949)
121,Elementary,SANKOFA ACADEMY,POINT (-122.2644207389778 37.84712498830206)
122,Elementary,CARL MUNCK ELEMENTARY,POINT (-122.1741811798675 37.79454141236914)
123,Elementary,SANTA FE ELEMENTARY,POINT (-122.2744310341093 37.83819854274224)
124,High,ROBESON SCHOOL OF VISUAL & PERFORMING ARTS,POINT (-122.2095695017205 37.77366814806908)
125,Middle,MONTERA MIDDLE SCHOOL,POINT (-122.201246290758 37.81918873482104)
126,Charter,HUERTA (DOLORES) LEARNING ACADEMY (K-8),POINT (-122.2122153570472 37.77570270039951)
127,Elementary,ASCEND ELEMENTARY,POINT (-122.221639822585 37.77400650192888)
128,Charter,CIVICORP CORPSMEMBERS ACADEMY,POINT (-122.2864717266507 37.80039301024288)
129,Elementary,REACH ACADEMY,POINT (-122.1618241154579 37.74654093736402)
130,Charter,OAKLAND AVIATION HIGH SCHOOL (9),POINT (-122.2147545116143 37.73451240368129)
131,Elementary,CHABOT ELEMENTARY,POINT (-122.2431681727351 37.85052420869306)
132,Elementary,JOAQUIN MILLER ELEMENTARY,POINT (-122.2015929893474 37.81873699744681)
133,Charter,OASIS HIGH SCHOOL (9-12),POINT (-122.2657681353314 37.80517139875548)
134,Elementary,PERALTA ELEMENTARY,POINT (-122.2587714099434 37.84898636802296)
135,High,CASTLEMONT COMMUNITY OF SMALL SCHOOLS,POINT (-122.1624989867069 37.75863148373918)
136,Elementary,SOBRANTE PARK ELEMENTARY,POINT (-122.177418739173 37.72832433135181)
137,Elementary,LA ESCUELITA ELEMENTARY,POINT (-122.2572155828328 37.79595334795516)
138,Elementary,LAZEAR ELEMENTARY,POINT (-122.2325471795691 37.77565564975384)
139,Elementary,PIEDMONT AVENUE ELEMENTARY,POINT (-122.2488110314689 37.82904822295961)
140,Elementary,GARFIELD ELEMENTARY,POINT (-122.2357791412227 37.7867064361878)
141,Charter,MILLSMONT ACADEMY,POINT (-122.1823295673921 37.77429279567527)
142,Charter,LIGHTHOUSE COMMUNITY CHARTER HIGH SCHOOL (9-10),POINT (-122.2700129353097 37.80615165976741)
143,Elementary,PARKER ELEMENTARY,POINT (-122.1655613524035 37.76558456751735)
144,High,FAR WEST,POINT (-122.2493824879576 37.83715129011739)
145,Elementary,GRASS VALLEY ELEMENTARY,POINT (-122.1258877050871 37.75301537675681)
